,Dormitorios,Superficie,Num_baños,Metro,Renfe,Tipo_de_inmueble,Año_de_construccion,Calefaccion,Etiqueta,Aire acondicionado,Ascensor,Jardin,Tipo,distrito/ciudad,Latitud,Longitud,Precio,residuos
37,5.0,230.0,3.0,0.0,0.0,Señorial,1994.0,0.0,En proceso,0.0,1.0,1.0,piso,Majadahonda,40.473055,-3.8724138,750000.0,148446.0
38,3.0,65.0,1.0,1.0,1.0,Media,1966.0,0.0,E,0.0,1.0,0.0,piso,Leganés,40.3281942,-3.76527,127000.0,1960.0
39,2.0,85.0,1.0,1.0,1.0,Popular,1983.0,1.0,E,1.0,0.0,0.0,piso,Almendrales,40.3843762,-3.6992931,149900.0,82250.0
40,4.0,194.0,2.0,0.0,0.0,Popular,1998.0,1.0,E,1.0,0.0,1.0,casa,Colmenar Viejo,40.6587726,-3.7659722,530000.0,127606.0
41,2.0,120.0,1.0,0.0,1.0,Popular,1971.0,1.0,En proceso,1.0,1.0,0.0,atico,Parla,40.2373952,-3.7718902,192000.0,60714.0
42,3.0,77.0,1.0,0.0,1.0,Media,1959.0,0.0,En proceso,0.0,0.0,0.0,casa,Entrevías,40.3790449,-3.6717573,159000.0,54126.0
43,1.0,40.0,1.0,1.0,0.0,Media,1975.0,0.0,E,0.0,0.0,0.0,piso,Fuente del Berro,40.424977,-3.6636998,250000.0,38760.0
44,2.0,128.0,2.0,1.0,0.0,Popular,1987.0,0.0,En proceso,0.0,0.0,0.0,piso,Barajas,40.4733176,-3.5798446,249900.0,168726.0
45,3.0,105.0,1.0,1.0,0.0,Media,1975.0,1.0,E,0.0,0.0,0.0,piso,Móstoles,40.3238525,-3.8649214,183000.0,9064.0
46,2.0,79.0,1.0,0.0,0.0,Popular,2000.0,1.0,E,0.0,0.0,0.0,piso,Moralzarzal,40.6791436,-3.9720985,175000.0,9832.0
47,1.0,36.0,1.0,1.0,1.0,Popular,1900.0,0.0,E,0.0,0.0,0.0,piso,Embajadores,40.4095856,-3.7029851,195000.0,7776.0
48,1.0,42.0,1.0,1.0,1.0,Popular,1963.0,0.0,En proceso,0.0,0.0,0.0,piso,San Sebastián de los Reyes,40.5473698,-3.6260586,75000.0,42776.0
49,2.0,68.0,1.0,1.0,0.0,Media,1960.0,0.0,En proceso,0.0,0.0,0.0,piso,Pueblo Nuevo,40.4268,-3.6365,135000.0,29634.0
50,3.0,67.0,1.0,0.0,0.0,Señorial,1968.0,0.0,En proceso,0.0,0.0,0.0,piso,Alcalá de Henares,40.4818396,-3.3644973,119900.0,5970.0
51,3.0,88.0,1.0,1.0,0.0,Popular,1961.0,1.0,E,1.0,0.0,0.0,piso,Comillas,40.393,-3.712,198000.0,53046.0
52,4.0,205.0,2.0,0.0,1.0,Media,1990.0,0.0,En proceso,0.0,0.0,0.0,casa,Pinto,40.240985,-3.7005072,490000.0,112376.0
53,2.0,62.0,1.0,0.0,1.0,Media,1965.0,1.0,G,1.0,0.0,0.0,piso,Pinto,40.240985,-3.7005072,138000.0,32868.0
54,1.0,56.0,1.0,1.0,1.0,Media,1987.0,1.0,E,0.0,0.0,0.0,piso,Fuenlabrada,40.282476,-3.7923422,125000.0,42084.0
